PDB ID,UniProt Accession,EC ID,Enzyme Name
3l60,O06159,2.3.1.168,dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
2ii3,P11181,2.3.1.168,dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
3rnm,P11182,2.3.1.168,dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
1oao,P27988,2.3.1.169,CO-methylating acetyl-CoA synthase
1c44,O62742,2.3.1.176,propanoyl-CoA C-acyltransferase
3d3s,Q7W980,2.3.1.178,diaminobutyrate acetyltransferase
4x9k,Q9KLJ3,2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
2ebd,O67185,2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
1hnj,P0A6R0,2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
2x3e,Q9HYR2,2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
5bqs,C1CIR8,2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
1w66,P9WK83,2.3.1.181,lipoyl(octanoyl) transferase
1vhs,P71043,2.3.1.183,phosphinothricin acetyltransferase
1kzf,P54656,2.3.1.184,acyl-homoserine-lactone synthase
1ro5,P33883,2.3.1.184,acyl-homoserine-lactone synthase
1p0h,P9WJM7,2.3.1.189,mycothiol synthase
4e79,B0VMV2,2.3.1.191,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
2iu8,P0CD76,2.3.1.191,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
3eh0,P21645,2.3.1.191,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
3pmo,Q9HXY6,2.3.1.191,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
2zpa,P76562,2.3.1.193,tRNA(Met) cytidine acetyltransferase
2e5a,O46419,2.3.1.200,lipoyl amidotransferase
4ri1,O25094,2.3.1.202,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
3bfp,Q0P9D1,2.3.1.203,UDP-N-acetylbacillosamine N-acetyltransferase
2ft0,Q8FBQ3,2.3.1.210,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
5kbz,Q12053,2.3.1.221,noranthrone synthase
2ojw,P15104,2.3.1.225,protein S-acyltransferase
3eu9,Q8IUH5,2.3.1.225,protein S-acyltransferase
2a7k,Q9XB60,2.3.1.226,carboxymethylproline synthase
6et0,Q9I4X1,2.3.1.230,2-heptyl-4(1H)-quinolone synthase
2zwa,Q08282,2.3.1.231,methoxycarbonyltransferase
1u0m,Q9FCA7,2.3.1.233,"1,3,6,8-tetrahydroxynaphthalene synthase"
3enh,Q58530,2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
2ivn,Q9UXT7,2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
4k25,P43122,2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
3zeu,P40731,2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
4lcl,Q9Y7D1,2.3.1.238,monacolin J acid methylbutanoate transferase
2hfk,Q9ZGI2,2.3.1.239,10-deoxymethynolide syntase
2hfk,Q9ZGI2,2.3.1.240,narbonolide synthase
4p2v,P76143,2.3.1.245,"3-hydroxy-5-phosphooxypentane-2,4-dione thiolase"
2y7e,B0VHH0,2.3.1.247,3-keto-5-aminohexanoate cleavage enzyme
3gp6,P37001,2.3.1.251,lipid IVA palmitoyltransferase
4kvx,Q9UTI3,2.3.1.255,N-terminal amino-acid N(alpha)-acetyltransferase NatA
4xnh,P07347,2.3.1.255,N-terminal amino-acid N(alpha)-acetyltransferase NatA
4r3l,Q980R9,2.3.1.255,N-terminal amino-acid N(alpha)-acetyltransferase NatA
4ua3,Q9USH6,2.3.1.257,N-terminal L-serine N(alpha)-acetyltransferase NatD
2ob0,Q9GZZ1,2.3.1.258,N-terminal methionine N(alpha)-acetyltransferase NatE
4xnh,Q08689,2.3.1.258,N-terminal methionine N(alpha)-acetyltransferase NatE
4r3l,Q980R9,2.3.1.258,N-terminal methionine N(alpha)-acetyltransferase NatE
5icw,Q9H7X0,2.3.1.259,N-terminal methionine N(alpha)-acetyltransferase NatF
3h78,P20582,2.3.1.262,anthraniloyl-CoA anthraniloyltransferase
5isv,P0A944,2.3.1.266,[ribosomal protein bS18]-alanine N-acetyltransferase
3w6s,E9P8D2,2.3.1.271,L-glutamate-5-semialdehyde N-acetyltransferase
1u7n,Q82ZE8,2.3.1.274,phosphate acyltransferase
2ggo,Q975F9,2.3.1.276,galactosamine-1-phosphate N-acetyltransferase
1q9j,P9WIN5,2.3.1.282,phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase
1q1a,P53686,2.3.1.286,protein acetyllysine N-acetyltransferase
1m2k,O28597,2.3.1.286,protein acetyllysine N-acetyltransferase
4twj,O30124,2.3.1.286,protein acetyllysine N-acetyltransferase
1yc5,Q9WYW0,2.3.1.286,protein acetyllysine N-acetyltransferase
4kxq,Q96EB6,2.3.1.286,protein acetyllysine N-acetyltransferase
4y6l,Q8IXJ6,2.3.1.286,protein acetyllysine N-acetyltransferase
4iao,P06700,2.3.1.286,protein acetyllysine N-acetyltransferase
6iso,Q9NTG7,2.3.1.286,protein acetyllysine N-acetyltransferase
6hoy,Q8N6T7,2.3.1.286,protein acetyllysine N-acetyltransferase
1x2m,Q8C172,2.3.1.291,sphingoid base N-palmitoyltransferase
5nji,P96202,2.3.1.292,(phenol)carboxyphthiodiolenone synthase
1u6e,P9WNG3,2.3.1.301,mycobacterial beta-ketoacyl-[acyl carrier protein] synthase III
4gdx,P19440,2.3.2.2,gamma-glutamyltransferase
3pb6,Q9NXS2,2.3.2.5,glutaminyl-peptide cyclotransferase
2cxa,P0A8P1,2.3.2.6,lysine/arginine leucyltransferase
3gkr,Q9EY50,2.3.2.10,UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase
4kty,P00488,2.3.2.13,protein-glutamine gamma-glutamyltransferase
3iu0,P81453,2.3.2.13,protein-glutamine gamma-glutamyltransferase
2xzz,P22735,2.3.2.13,protein-glutamine gamma-glutamyltransferase
6a8p,P21980,2.3.2.13,protein-glutamine gamma-glutamyltransferase
1g0d,P52181,2.3.2.13,protein-glutamine gamma-glutamyltransferase
1l9n,Q08188,2.3.2.13,protein-glutamine gamma-glutamyltransferase
1lrz,P0A0A5,2.3.2.17,glycyltransferase
3oqv,Q8GED7,2.3.2.20,cyclo(L-leucyl-L-phenylalanyl) synthase
2x9q,P9WPF9,2.3.2.21,cyclo(L-tyrosyl-L-tyrosyl) synthase
3oqi,Q65EX3,2.3.2.22,cyclo(L-leucyl-L-leucyl) synthase
2yho,P51668,2.3.2.23,E2 ubiquitin-conjugating enzyme
5mnj,P62837,2.3.2.23,E2 ubiquitin-conjugating enzyme
4s3o,P61077,2.3.2.23,E2 ubiquitin-conjugating enzyme
4lad,P60604,2.3.2.23,E2 ubiquitin-conjugating enzyme
2f4w,Q8N2K1,2.3.2.23,E2 ubiquitin-conjugating enzyme
5udh,P68036,2.3.2.23,E2 ubiquitin-conjugating enzyme
1zuo,Q8WVN8,2.3.2.23,E2 ubiquitin-conjugating enzyme
1tte,P21734,2.3.2.23,E2 ubiquitin-conjugating enzyme
1z2u,P35129,2.3.2.23,E2 ubiquitin-conjugating enzyme
4ii2,P46595,2.3.2.23,E2 ubiquitin-conjugating enzyme
4jqu,Q02159,2.3.2.23,E2 ubiquitin-conjugating enzyme
4x57,P35131,2.3.2.23,E2 ubiquitin-conjugating enzyme
2y9m,P29340,2.3.2.23,E2 ubiquitin-conjugating enzyme
2yb6,P63146,2.3.2.23,E2 ubiquitin-conjugating enzyme
4yii,O00762,2.3.2.23,E2 ubiquitin-conjugating enzyme
2z5d,P62256,2.3.2.23,E2 ubiquitin-conjugating enzyme
3k9o,P61086,2.3.2.23,E2 ubiquitin-conjugating enzyme
5eya,P61088,2.3.2.23,E2 ubiquitin-conjugating enzyme
1zdn,Q16763,2.3.2.23,E2 ubiquitin-conjugating enzyme
5ojj,Q9NPD8,2.3.2.23,E2 ubiquitin-conjugating enzyme
1yrv,Q5VVX9,2.3.2.23,E2 ubiquitin-conjugating enzyme
2a7l,Q96B02,2.3.2.23,E2 ubiquitin-conjugating enzyme
2yho,P51668,2.3.2.24,(E3-independent) E2 ubiquitin-conjugating enzyme
5mnj,P62837,2.3.2.24,(E3-independent) E2 ubiquitin-conjugating enzyme
4s3o,P61077,2.3.2.24,(E3-independent) E2 ubiquitin-conjugating enzyme
4yii,O00762,2.3.2.24,(E3-independent) E2 ubiquitin-conjugating enzyme
2z5d,P62256,2.3.2.24,(E3-independent) E2 ubiquitin-conjugating enzyme
2a7l,Q96B02,2.3.2.25,N-terminal E2 ubiquitin-conjugating enzyme
3dkm,Q9ULT8,2.3.2.26,HECT-type E3 ubiquitin transferase
2lfe,Q9P2P5,2.3.2.26,HECT-type E3 ubiquitin transferase
4qt6,Q15751,2.3.2.26,HECT-type E3 ubiquitin transferase
3kci,O95714,2.3.2.26,HECT-type E3 ubiquitin transferase
3h1d,Q7Z6Z7,2.3.2.26,HECT-type E3 ubiquitin transferase
5dws,Q96J02,2.3.2.26,HECT-type E3 ubiquitin transferase
2nsq,Q96PU5,2.3.2.26,HECT-type E3 ubiquitin transferase
3olm,P39940,2.3.2.26,HECT-type E3 ubiquitin transferase
3pyc,Q9HCE7,2.3.2.26,HECT-type E3 ubiquitin transferase
2kxq,Q9HAU4,2.3.2.26,HECT-type E3 ubiquitin transferase
2qyu,Q8ZNR3,2.3.2.26,HECT-type E3 ubiquitin transferase
1tk7,Q9Y0H4,2.3.2.26,HECT-type E3 ubiquitin transferase
4xr8,Q05086,2.3.2.26,HECT-type E3 ubiquitin transferase
3pt3,O95071,2.3.2.26,HECT-type E3 ubiquitin transferase
5d0i,Q6ZSG1,2.3.2.27,RING-type E3 ubiquitin transferase
2nte,Q99728,2.3.2.27,RING-type E3 ubiquitin transferase
4hy4,Q13490,2.3.2.27,RING-type E3 ubiquitin transferase
3m0d,Q13489,2.3.2.27,RING-type E3 ubiquitin transferase
3ceg,Q9NR09,2.3.2.27,RING-type E3 ubiquitin transferase
4igk,P38398,2.3.2.27,RING-type E3 ubiquitin transferase
5trb,Q5VTR2,2.3.2.27,RING-type E3 ubiquitin transferase
2ooa,Q13191,2.3.2.27,RING-type E3 ubiquitin transferase
3vrp,Q9ULV8,2.3.2.27,RING-type E3 ubiquitin transferase
5hkx,P22681,2.3.2.27,RING-type E3 ubiquitin transferase
2xoc,Q96EP1,2.3.2.27,RING-type E3 ubiquitin transferase
4kbq,Q9UNE7,2.3.2.27,RING-type E3 ubiquitin transferase
3q49,Q9WUD1,2.3.2.27,RING-type E3 ubiquitin transferase
1e4u,O95628,2.3.2.27,RING-type E3 ubiquitin transferase
2cpi,Q8BT14,2.3.2.27,RING-type E3 ubiquitin transferase
5kwn,P43254,2.3.2.27,RING-type E3 ubiquitin transferase
1se0,Q24306,2.3.2.27,RING-type E3 ubiquitin transferase
2m6m,P40318,2.3.2.27,RING-type E3 ubiquitin transferase
1v87,Q8R3P2,2.3.2.27,RING-type E3 ubiquitin transferase
3pg6,Q8TDB6,2.3.2.27,RING-type E3 ubiquitin transferase
2a90,Q23985,2.3.2.27,RING-type E3 ubiquitin transferase
3k1l,Q8T913,2.3.2.27,RING-type E3 ubiquitin transferase
4ccg,Q9NW38,2.3.2.27,RING-type E3 ubiquitin transferase
3vk6,Q9JIY2,2.3.2.27,RING-type E3 ubiquitin transferase
2cs3,Q9H1B7,2.3.2.27,RING-type E3 ubiquitin transferase
1chc,P28990,2.3.2.27,RING-type E3 ubiquitin transferase
3ckd,P18014,2.3.2.27,RING-type E3 ubiquitin transferase
5b0n,Q8VSC3,2.3.2.27,RING-type E3 ubiquitin transferase
3b76,Q8TBB1,2.3.2.27,RING-type E3 ubiquitin transferase
4xi1,Q5X159,2.3.2.27,RING-type E3 ubiquitin transferase
2d8s,Q5T0T0,2.3.2.27,RING-type E3 ubiquitin transferase
5z02,Q00987,2.3.2.27,RING-type E3 ubiquitin transferase
5www,Q5U5Q3,2.3.2.27,RING-type E3 ubiquitin transferase
2yho,Q8WY64,2.3.2.27,RING-type E3 ubiquitin transferase
5hvq,Q8WV22,2.3.2.27,RING-type E3 ubiquitin transferase
2l0b,Q8NG27,2.3.2.27,RING-type E3 ubiquitin transferase
1zkc,Q13356,2.3.2.27,RING-type E3 ubiquitin transferase
6id1,Q9UMS4,2.3.2.27,RING-type E3 ubiquitin transferase
3jb9,O14011,2.3.2.27,RING-type E3 ubiquitin transferase
6j6g,P32523,2.3.2.27,RING-type E3 ubiquitin transferase
1t1h,Q8VZ40,2.3.2.27,RING-type E3 ubiquitin transferase
1wh1,Q9UPQ7,2.3.2.27,RING-type E3 ubiquitin transferase
6ff4,O15541,2.3.2.27,RING-type E3 ubiquitin transferase
2y43,Q9NS91,2.3.2.27,RING-type E3 ubiquitin transferase
3gna,P15919,2.3.2.27,RING-type E3 ubiquitin transferase
6e5x,Q7Z6E9,2.3.2.27,RING-type E3 ubiquitin transferase
4p5o,P62877,2.3.2.27,RING-type E3 ubiquitin transferase
4zld,Q9HBD1,2.3.2.27,RING-type E3 ubiquitin transferase
1y02,Q8WZ73,2.3.2.27,RING-type E3 ubiquitin transferase
4s3o,Q99496,2.3.2.27,RING-type E3 ubiquitin transferase
2ckl,Q9CQJ4,2.3.2.27,RING-type E3 ubiquitin transferase
2ma6,Q5XPI4,2.3.2.27,RING-type E3 ubiquitin transferase
5dka,Q96EQ8,2.3.2.27,RING-type E3 ubiquitin transferase
2ect,Q91YL2,2.3.2.27,RING-type E3 ubiquitin transferase
3icu,Q8TEB7,2.3.2.27,RING-type E3 ubiquitin transferase
3v3l,Q9NTX7,2.3.2.27,RING-type E3 ubiquitin transferase
4gb0,Q8IYW5,2.3.2.27,RING-type E3 ubiquitin transferase
5d1m,Q96BH1,2.3.2.27,RING-type E3 ubiquitin transferase
4v3l,Q9H0F5,2.3.2.27,RING-type E3 ubiquitin transferase
2gwf,Q9H4P4,2.3.2.27,RING-type E3 ubiquitin transferase
2xeu,P78317,2.3.2.27,RING-type E3 ubiquitin transferase
2mp2,Q9QZS2,2.3.2.27,RING-type E3 ubiquitin transferase
5aiu,O88846,2.3.2.27,RING-type E3 ubiquitin transferase
4ayc,O76064,2.3.2.27,RING-type E3 ubiquitin transferase
2djq,Q8BZT2,2.3.2.27,RING-type E3 ubiquitin transferase
2m85,Q149N8,2.3.2.27,RING-type E3 ubiquitin transferase
4ca1,Q8IUQ4,2.3.2.27,RING-type E3 ubiquitin transferase
4nkg,D0ZVG2,2.3.2.27,RING-type E3 ubiquitin transferase
3g06,P0CE12,2.3.2.27,RING-type E3 ubiquitin transferase
4ybm,O15164,2.3.2.27,RING-type E3 ubiquitin transferase
2yvr,Q13263,2.3.2.27,RING-type E3 ubiquitin transferase
3m0d,Q12933,2.3.2.27,RING-type E3 ubiquitin transferase
3zjb,Q9BUZ4,2.3.2.27,RING-type E3 ubiquitin transferase
6myd,Q6IWL4,2.3.2.27,RING-type E3 ubiquitin transferase
3hct,Q9Y4K3,2.3.2.27,RING-type E3 ubiquitin transferase
2jun,O15344,2.3.2.27,RING-type E3 ubiquitin transferase
5eya,Q14258,2.3.2.27,RING-type E3 ubiquitin transferase
4b8e,Q61510,2.3.2.27,RING-type E3 ubiquitin transferase
2ysj,Q9BZY9,2.3.2.27,RING-type E3 ubiquitin transferase
5fey,Q13049,2.3.2.27,RING-type E3 ubiquitin transferase
5mr8,Q9UPN9,2.3.2.27,RING-type E3 ubiquitin transferase
3lrq,O94972,2.3.2.27,RING-type E3 ubiquitin transferase
2egm,Q8WV44,2.3.2.27,RING-type E3 ubiquitin transferase
2ds4,Q9H8W5,2.3.2.27,RING-type E3 ubiquitin transferase
4m3l,Q969Q1,2.3.2.27,RING-type E3 ubiquitin transferase
2dmk,Q9UJV3,2.3.2.27,RING-type E3 ubiquitin transferase
5k3q,Q0PF16,2.3.2.27,RING-type E3 ubiquitin transferase
2db8,Q9C026,2.3.2.27,RING-type E3 ubiquitin transferase
5o75,O95155,2.3.2.27,RING-type E3 ubiquitin transferase
3nis,P19812,2.3.2.27,RING-type E3 ubiquitin transferase
3m62,P54860,2.3.2.27,RING-type E3 ubiquitin transferase
6b9m,E7EZF3,2.3.2.27,RING-type E3 ubiquitin transferase
6b9m,Q96T88,2.3.2.27,RING-type E3 ubiquitin transferase
3fde,Q8VDF2,2.3.2.27,RING-type E3 ubiquitin transferase
5o6t,P98170,2.3.2.27,RING-type E3 ubiquitin transferase
2m9a,Q96JP5,2.3.2.27,RING-type E3 ubiquitin transferase
2k2d,Q96PM5,2.3.2.27,RING-type E3 ubiquitin transferase
4cdj,Q5SSZ7,2.3.2.27,RING-type E3 ubiquitin transferase
4c9r,Q08D68,2.3.2.27,RING-type E3 ubiquitin transferase
5udh,Q9Y4X5,2.3.2.31,RBR-type E3 ubiquitin transferase
4dbg,Q9BYM8,2.3.2.31,RBR-type E3 ubiquitin transferase
3b08,Q9WUB0,2.3.2.31,RBR-type E3 ubiquitin transferase
2jmo,O60260,2.3.2.31,RBR-type E3 ubiquitin transferase
2zeq,Q9WVS6,2.3.2.31,RBR-type E3 ubiquitin transferase
4zyn,Q9JK66,2.3.2.31,RBR-type E3 ubiquitin transferase
1wim,P50876,2.3.2.31,RBR-type E3 ubiquitin transferase
5x0w,Q96EP0,2.3.2.31,RBR-type E3 ubiquitin transferase
4p5o,P62877,2.3.2.32,cullin-RING-type E3 NEDD8 transferase
3fn1,Q969M7,2.3.2.32,cullin-RING-type E3 NEDD8 transferase
3hwj,Q7TPH6,2.3.2.33,RCR-type E3 ubiquitin transferase
4p5o,P61081,2.3.2.34,E2 NEDD8-conjugating enzyme
3o2u,P52491,2.3.2.34,E2 NEDD8-conjugating enzyme
4lad,Q9UKV5,2.3.2.36,RING-type E3 ubiquitin transferase (cysteine targeting)
1vyx,P90495,2.3.2.36,RING-type E3 ubiquitin transferase (cysteine targeting)
2nsq,Q96PU5,2.3.2.36,RING-type E3 ubiquitin transferase (cysteine targeting)
5uqs,P00889,2.3.3.1,citrate (Si)-synthase
1a59,O34002,2.3.3.5,2-methylcitrate synthase
3o8j,Q56063,2.3.3.5,2-methylcitrate synthase
5teq,P53396,2.3.3.8,ATP citrate synthase
5tao,D4GTL2,2.3.3.9,malate synthase
3cuz,P08997,2.3.3.9,malate synthase
6as6,P9WK17,2.3.3.9,malate synthase
5vfb,Q9I636,2.3.3.9,malate synthase
3ewb,Q71Y35,2.3.3.13,2-isopropylmalate synthase
3hq1,P9WQB3,2.3.3.13,2-isopropylmalate synthase
3a9i,O87198,2.3.3.14,homocitrate synthase
3ivt,Q9Y823,2.3.3.14,homocitrate synthase
4jad,P0ABH7,2.3.3.16,citrate synthase (unknown stereospecificity)
2ifc,P21553,2.3.3.16,citrate synthase (unknown stereospecificity)
1a59,O34002,2.3.3.16,citrate synthase (unknown stereospecificity)
3o8j,Q56063,2.3.3.16,citrate synthase (unknown stereospecificity)
5vxf,Q8PDX2,2.3.3.20,acyl-CoA:acyl-CoA alkyltransferase
3f6g,Q8F3Q1,2.3.3.21,(R)-citramalate synthase
2gj4,P00489,2.4.1.1,glycogen phosphorylase
1g5a,Q9ZEU2,2.4.1.4,amylosucrase
3aib,P13470,2.4.1.5,dextransucrase
6fme,A0ZZH6,2.4.1.7,sucrose phosphorylase
1oyg,P05655,2.4.1.10,levansucrase
3nb0,P27472,2.4.1.11,glycogen(starch) synthase
4i86,P0CW87,2.4.1.12,cellulose synthase (UDP-forming)
1weo,Q9SWW6,2.4.1.12,cellulose synthase (UDP-forming)
3s28,P49040,2.4.1.13,sucrose synthase
4rbn,Q820M5,2.4.1.13,sucrose synthase
4wjw,P29465,2.4.1.16,chitin synthase
2o6l,P16662,2.4.1.17,glucuronosyltransferase
3n98,Q5JDJ7,2.4.1.18,"1,4-alpha-glucan branching enzyme"
3p0b,Q5SH28,2.4.1.18,"1,4-alpha-glucan branching enzyme"
5e6z,A7ZSW5,2.4.1.18,"1,4-alpha-glucan branching enzyme"
4bzy,Q04446,2.4.1.18,"1,4-alpha-glucan branching enzyme"
3aml,Q01401,2.4.1.18,"1,4-alpha-glucan branching enzyme"
3bmv,P26827,2.4.1.19,cyclomaltodextrin glucanotransferase
2qzs,P0A6U8,2.4.1.21,starch synthase
2fy7,P15291,2.4.1.22,lactose synthase
1k1y,O32462,2.4.1.25,4-alpha-glucanotransferase
5jiw,O87172,2.4.1.25,4-alpha-glucanotransferase
1lwj,P80099,2.4.1.25,4-alpha-glucanotransferase
1xv5,P04519,2.4.1.26,DNA alpha-glucosyltransferase
1jg7,P04547,2.4.1.27,DNA beta-glucosyltransferase
4rt1,Q9HY69,2.4.1.33,mannuronan synthase
3ioh,P16442,2.4.1.37,fucosylgalactoside 3-alpha-galactosyltransferase
2fy7,P15291,2.4.1.38,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase"
3ioh,P16442,2.4.1.40,glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
1xhb,O08912,2.4.1.41,polypeptide N-acetylgalactosaminyltransferase
5ajo,Q10471,2.4.1.41,polypeptide N-acetylgalactosaminyltransferase
2d7i,Q86SR1,2.4.1.41,polypeptide N-acetylgalactosaminyltransferase
2de0,Q9BYC5,2.4.1.68,glycoprotein 6-alpha-L-fucosyltransferase
4x7r,A0A0H2WWV6,2.4.1.70,poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase
2fy7,P15291,2.4.1.90,N-acetyllactosamine synthase
2c1z,P51094,2.4.1.91,flavonol 3-O-glucosyltransferase
2apc,P27115,2.4.1.101,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
2c1z,P51094,2.4.1.115,anthocyanidin 3-O-glucosyltransferase
3hzs,Q7A0I6,2.4.1.129,peptidoglycan glycosyltransferase
5cxw,P71707,2.4.1.129,peptidoglycan glycosyltransferase
2oqo,O66874,2.4.1.129,peptidoglycan glycosyltransferase
4oon,Q07806,2.4.1.129,peptidoglycan glycosyltransferase
5hla,P02919,2.4.1.129,peptidoglycan glycosyltransferase
3lw6,Q9VBZ9,2.4.1.133,xylosylprotein 4-beta-galactosyltransferase
1v84,Q9P2W7,2.4.1.135,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
2jzc,P53178,2.4.1.141,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase
2nzx,O30511,2.4.1.152,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase
4ba0,B3PEE6,2.4.1.161,oligosaccharide 4-alpha-D-glucosyltransferase
2z86,Q8L0V4,2.4.1.175,acetylgalactosaminyltransferase
3u2u,P46976,2.4.1.186,glycogenin glucosyltransferase
1umz,Q8GZD5,2.4.1.207,xyloglucan:xyloglucosyl transferase
2zuv,E8MF13,2.4.1.211,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
2zu9,O58689,2.4.1.217,mannosyl-3-phosphoglycerate synthase
2vch,Q9M156,2.4.1.218,hydroquinone glucosyltransferase
5ky2,Q91ZW2,2.4.1.221,peptide-O-fucosyltransferase
4ap5,Q9Y2G5,2.4.1.221,peptide-O-fucosyltransferase
2j0a,O09008,2.4.1.222,O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
1omz,Q9ES89,2.4.1.223,acetylglucosaminyltransferase
2z86,Q8L0V4,2.4.1.226,N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
1f0k,P17443,2.4.1.227,acetylglucosaminyltransferase
2x6r,O58762,2.4.1.245,"alpha,alpha-trehalose synthase"
3wno,P94286,2.4.1.248,cycloisomaltooligosaccharide glucanotransferase
3c48,Q8NTA6,2.4.1.250,D-inositol-3-phosphate glycosyltransferase
4gyw,O15294,2.4.1.255,protein O-GlcNAc transferase
2hy7,Q8GCH2,2.4.1.264,2-beta-glucuronosyltransferase
4dec,P9WMW9,2.4.1.266,glucosyl-3-phosphoglycerate synthase
2bo4,Q9RFR0,2.4.1.269,mannosylglycerate synthase
2fy7,P15291,2.4.1.275,"neolactotriaosylceramide beta-1,4-galactosyltransferase"
2yjn,A4F7P3,2.4.1.278,3-alpha-mycarosylerythronolide B desosaminyl transferase
1v7w,Q76IQ9,2.4.1.280,"N,N'-diacetylchitobiose phosphorylase"
3was,Q5LH68,2.4.1.281,4-O-beta-D-mannosyl-D-glucose phosphorylase
4fix,O53585,2.4.1.288,"decaprenol beta-1,5/1,6-galactofuranosyltransferase"
3h4t,P96558,2.4.1.311,dTDP-epi-vancosaminyltransferase
4ktp,D6XZ22,2.4.1.332,"1,2-alpha-glucosylglycerol phosphorylase"
4n9w,A0QWG6,2.4.1.345,phosphatidyl-myo-inositol alpha-mannosyltransferase
3okp,Q8NNK8,2.4.1.346,phosphatidyl-myo-inositol dimannoside synthase
5l0v,Q8NBL1,2.4.1.376,EGF-domain serine glucosyltransferase
5znc,Q8T9Z7,2.4.2.1,purine-nucleoside phosphorylase
1je0,P50389,2.4.2.1,purine-nucleoside phosphorylase
3hqx,Q6FF51,2.4.2.1,purine-nucleoside phosphorylase
2oyz,Q87K41,2.4.2.1,purine-nucleoside phosphorylase
1g2o,P9WP01,2.4.2.1,purine-nucleoside phosphorylase
1t8h,P84138,2.4.2.1,purine-nucleoside phosphorylase
5oln,P39142,2.4.2.2,pyrimidine-nucleoside phosphorylase
3hqx,Q6FF51,2.4.2.2,pyrimidine-nucleoside phosphorylase
2oyz,Q87K41,2.4.2.2,pyrimidine-nucleoside phosphorylase
3p0f,O95045,2.4.2.3,uridine phosphorylase
4ead,P07650,2.4.2.4,thymidine phosphorylase
1uou,P19971,2.4.2.4,thymidine phosphorylase
1f8y,Q9R5V5,2.4.2.6,nucleoside deoxyribosyltransferase
2dy0,P69503,2.4.2.7,adenine phosphoribosyltransferase
1fsg,Q26997,2.4.2.8,hypoxanthine phosphoribosyltransferase
5hia,P00492,2.4.2.8,hypoxanthine phosphoribosyltransferase
2xbu,Q04178,2.4.2.8,hypoxanthine phosphoribosyltransferase
4p82,P39765,2.4.2.9,uracil phosphoribosyltransferase
2e55,O67914,2.4.2.9,uracil phosphoribosyltransferase
1xtt,Q980Q4,2.4.2.9,uracil phosphoribosyltransferase
1v9s,Q72J35,2.4.2.9,uracil phosphoribosyltransferase
1bd3,Q26998,2.4.2.9,uracil phosphoribosyltransferase
2yzk,Q9Y9D8,2.4.2.10,orotate phosphoribosyltransferase
3m3h,Q81WF6,2.4.2.10,orotate phosphoribosyltransferase
4paw,P56162,2.4.2.10,orotate phosphoribosyltransferase
5hkl,P9WHK9,2.4.2.10,orotate phosphoribosyltransferase
3n2l,Q9KVD5,2.4.2.10,orotate phosphoribosyltransferase
3eww,P11172,2.4.2.10,orotate phosphoribosyltransferase
4lvf,P43490,2.4.2.12,nicotinamide phosphoribosyltransferase
6czf,P0AG16,2.4.2.14,amidophosphoribosyltransferase
5ubg,Q5HSJ4,2.4.2.17,ATP phosphoribosyltransferase
1z7m,Q02129,2.4.2.17,ATP phosphoribosyltransferase
2vd3,O27550,2.4.2.17,ATP phosphoribosyltransferase
1nh8,P9WMN1,2.4.2.17,ATP phosphoribosyltransferase
6fcc,Q4FQF7,2.4.2.17,ATP phosphoribosyltransferase
1usy,Q9X0D2,2.4.2.17,ATP phosphoribosyltransferase
1ve4,P62381,2.4.2.17,ATP phosphoribosyltransferase
1vqu,Q8YXQ9,2.4.2.18,anthranilate phosphoribosyltransferase
4yi7,P00500,2.4.2.18,anthranilate phosphoribosyltransferase
4giu,P9WFX5,2.4.2.18,anthranilate phosphoribosyltransferase
